,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
987,secretaria de educacion departamental meta,8774,institucion de educacion para el trabajo y el desarrollo humano gabriel garcia marquez,50,meta,50226,cumaral,privada,no,4.2694,-73.4864
988,secretaria de educacion distrito bogota,7112,escuela de gastronomia mariano moreno,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
989,secretaria de educacion municipal de cali,8598,fundacion educativa tecnica colombiana - futec,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
990,secretaria de educacion municipal de pereira,6103,kumon unidad circunvalar,66,risaralda,66001,pereira,privada,no,4.8143,-75.6946
991,secretaria de educacion municipal de bucaramanga,8612,centro de estudios g&d proyectos,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
992,secretaria de educacion municipal de bucaramanga,6581,academia de belleza la española,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
993,secretaria de educacion distrito bogota,3983,academia de belleza cedeca,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
994,secretaria de educacion departamental amazonas,8385,fundacion tecnica de caldas leticia -  funteccaldas,91,amazonas,91001,leticia,privada,no,-4.215,-69.9411
995,secretaria de educacion departamental caldas,2090,escuela regional de formacion de auxiliares de enfermeria ltda erfae,17,caldas,17380,la dorada,privada,no,5.4538,-74.6647
996,secretaria de educacion departamental caldas,2090,escuela regional de formacion de auxiliares de enfermeria ltda erfae,17,caldas,17380,la dorada,privada,no,0.3436,-76.9108
997,secretaria de educacion departamental valle,4858,centro de capacitacion ocupacional porvenir ccop,76,valle del cauca,76248,el cerrito,privada,no,3.6855,-76.3137
998,secretaria de educacion municipal de giron,8926,new english s.a.s,68,santander,68307,giron,privada,no,7.0731,-73.1681
999,secretaria de educacion departamental de antioquia,5242,instituto tecnico credens ltda,5,antioquia,5282,fredonia,privada,no,5.9267,-75.6739
