,CÓDIGO INSTITUCIÓN,NOMBRE INSTITUCIÓN,PRINCIPAL/SECCIONAL,NATURALEZA JURÍDICA,SECTOR,CARÁCTER ACADÉMICO,DEPARTAMENTO DOMICILIO,MUNICIPIO,¿ACREDITADA ALTA CALIDAD?,LAT,LNG,CONTEO
205,9119,corporacion universitaria americana,principal,corporacion,privada,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
206,9120,fundacion universitaria bellas artes,principal,fundacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
207,9122,universidad manuela beltran-umb-,seccional,fundacion,privada,universidad,santander,bucaramanga,si,7.1186,-73.1161,14
208,9123,universidad antonio nariño,seccional,corporacion,privada,universidad,huila,neiva,no,2.9275,-75.2875,4
209,9124,tecnologico coredi,principal,fundacion,privada,institucion tecnologica,antioquia,marinilla,no,6.1744,-75.3389,1
210,9125,universidad de antioquia,seccional,nacional,oficial,universidad,antioquia,santa fe de antioquia,no,6.5564,-75.8275,2
211,9126,corporacion tecnologica indoamerica,principal,corporacion,privada,institucion tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
212,9127,corporacion universitaria de sabaneta - unisabaneta,principal,corporacion,privada,escuela tecnologica,antioquia,sabaneta,no,6.1508,-75.615,2
213,9900,corporacion universitaria u de colombia,principal,corporacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
214,9902,fundacion universitaria comfenalco santander,principal,fundacion,privada,escuela tecnologica,santander,bucaramanga,no,7.1186,-73.1161,14
215,9905,fundacion escuela tecnologica de neiva - jesus oviedo perez -fet,principal,fundacion,privada,escuela tecnologica,huila,rivera,no,2.7772,-75.2553,1
216,9906,corporacion universitaria para el desarrollo empresarial y social- cudes,principal,corporacion,privada,escuela tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
217,9907,fundacion universitaria navarra - uninavarra,principal,fundacion,privada,escuela tecnologica,huila,neiva,no,2.9275,-75.2875,4
218,9908,universidad del valle,seccional,departamental,oficial,universidad,valle del cauca,guadalajara de buga,no,3.9036,-76.2986,3
219,9909,universidad del valle,seccional,nacional,oficial,universidad,valle del cauca,zarzal,no,4.3942,-76.0703,1
220,9911,universidad del valle,seccional,departamental,oficial,universidad,valle del cauca,buenaventura,no,3.8772,-77.0267,2
221,9912,universidad del valle,seccional,nacional,oficial,universidad,valle del cauca,palmira,no,3.5394,-76.3036,4
222,9918,institucion universitaria conocimiento e innovacion para la justicia - cij,principal,nacional,oficial,escuela tecnologica,cundinamarca,cota,no,4.8094,-74.098,1
223,9919,tecnologico de energia e innovacion-  e-lernova,principal,fundacion,privada,institucion tecnologica,cundinamarca,chia,no,4.8633,-74.0528,3
224,9921,fundacion universitaria catolica del sur - unicatolica del sur,principal,fundacion,privada,escuela tecnologica,nariño,pasto,no,1.2136,-77.2811,5
225,9922,fundacion universitaria comfamiliar risaralda,principal,fundacion,privada,escuela tecnologica,risaralda,pereira,no,4.8143,-75.6946,6
226,9925,fundacion universitaria fcv,principal,fundacion,privada,escuela tecnologica,santander,floridablanca,no,7.0697,-73.0978,1
227,9927,institucion universitaria digital de antioquia -iu. digital,principal,departamental,oficial,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
228,9929,universidad autonoma indigena intercultural - uaiin,principal,nacional,oficial,universidad,cauca,popayan,no,2.4411,-76.6061,6
229,9933,universidad nacional de colombia,seccional,nacional,oficial,universidad,cesar,la paz,no,10.3844,-73.1733,2
230,9933,universidad nacional de colombia,seccional,nacional,oficial,universidad,cesar,la paz,no,6.1781,-73.5894,2
231,9935,unidad tecnologica del magdalena medio - utem -,principal,fundacion,privada,institucion tecnologica,santander,barrancabermeja,no,7.0675,-73.8472,3
